text,sector,severity,municipal_corp,date,month,year
Broken park bench at Central Park in MMC jurisdiction,parks,0,MMC,2023-08-27,8,2023
Bridge approach damaged near West Zone in MMC jurisdiction,road,2,MMC,2023-12-11,12,2023
Water bill discrepancy for Ward 2,water,1,RMC,2024-07-03,7,2024
Drain blockage at Central Zone in RMC jurisdiction,water,1,RMC,2024-11-17,11,2024
Building material on road in WMC jurisdiction,building,1,WMC,2023-09-08,9,2023
Overflowing water tank at South Zone,water,2,UMC,2023-02-27,2,2023
Pipeline repair work incomplete in VMC jurisdiction,water,1,VMC,2023-05-23,5,2023
Park lights not functioning,electricity,0,CMC,2024-02-13,2,2024
Building permit delay,building,0,DMC,2023-04-23,4,2023
Leaking pipeline near Ward 5 in WMC jurisdiction,water,1,WMC,2023-06-15,6,2023
Sidewalk damaged on Market Road in KDMC jurisdiction,road,1,KDMC,2024-07-16,7,2024
Drain cleaning overdue in HMC jurisdiction,sanitation,1,HMC,2023-08-19,8,2023
Property tax assessment error,building,0,VMC,2023-04-22,4,2023
Sidewalk damaged on Link Road in MMC jurisdiction,road,1,MMC,2023-03-19,3,2023
Tree needs pruning in TMC jurisdiction,parks,0,TMC,2024-04-10,4,2024
Drain cleaning overdue in UMC jurisdiction,sanitation,1,UMC,2023-10-31,10,2023
Road surface cracks on College Road in CMC jurisdiction,road,0,CMC,2024-09-26,9,2024
Garbage truck leaking in JMC jurisdiction,sanitation,1,JMC,2023-11-18,11,2023
Pipeline repair work incomplete in NMC jurisdiction,water,1,NMC,2023-03-16,3,2023
Partial power failure in Middle Class Colony in PMC jurisdiction,electricity,1,PMC,2023-09-29,9,2023
Garbage overflow at Middle Class Colony in HMC jurisdiction,sanitation,1,HMC,2024-11-10,11,2024
Dog waste in park in PMC jurisdiction,parks,0,PMC,2023-10-06,10,2023
Road hump needs repainting on Link Road,road,0,GMC,2023-02-22,2,2023
Illegal electricity connection in CMC jurisdiction,electricity,2,CMC,2023-05-11,5,2023
Water quality issues in Ward 7 in BMC jurisdiction,water,2,BMC,2024-11-13,11,2024
Water bill discrepancy for Ward 6,water,1,SMC,2023-04-21,4,2023
Roadside vegetation obstructing view in CMC jurisdiction,road,1,CMC,2023-08-22,8,2023
Construction waste on roadside,sanitation,1,GMC,2023-10-13,10,2023
Irregular water supply timing in HMC jurisdiction,water,1,HMC,2024-08-13,8,2024
Park maintenance overdue,parks,1,PMC,2024-06-03,6,2024
Water feature malfunction in NMC jurisdiction,parks,1,NMC,2023-01-01,1,2023
Bridge approach damaged near Industrial Area in WMC jurisdiction,road,2,WMC,2024-11-22,11,2024
No water supply for 24+ hours in SMC jurisdiction,water,2,SMC,2023-07-23,7,2023
Street light sensor not working,electricity,0,LMC,2024-05-31,5,2024
Park maintenance overdue,parks,1,AMC,2024-04-05,4,2024
Roadside vegetation obstructing view in HMC jurisdiction,road,1,HMC,2023-10-09,10,2023
Dumpster missing lid,sanitation,0,JMC,2023-03-24,3,2023
Speed breaker damaged on Lake Side in CMC jurisdiction,road,1,CMC,2024-07-09,7,2024
Drain blockage at Industrial Area,water,1,VMC,2024-09-29,9,2024
Road surface cracks on Garden Street in JMC jurisdiction,road,0,JMC,2024-01-24,1,2024
Construction quality issues in KDMC jurisdiction,building,1,KDMC,2024-07-06,7,2024
Building permit delay,building,0,KDMC,2023-09-11,9,2023
Road hump needs repainting on Church Street in KMC jurisdiction,road,0,KMC,2023-08-12,8,2023
Road hump needs repainting on River View,road,0,NMC,2023-07-23,7,2023
Stray animals in garbage in BMC jurisdiction,sanitation,1,BMC,2024-11-08,11,2024
Public toilet in park dirty,parks,2,LMC,2024-08-29,8,2024
Street light not working at Slum Area,electricity,1,JMC,2023-07-06,7,2023
Borewell not functioning,water,1,RMC,2024-07-17,7,2024
Recycling not being done in GMC jurisdiction,sanitation,0,GMC,2023-07-17,7,2023
Industrial waste mixing in AMC jurisdiction,sanitation,2,AMC,2024-05-10,5,2024
Electrical pole leaning dangerously,electricity,2,WMC,2023-07-18,7,2023
Littering in public park,sanitation,0,DMC,2024-08-10,8,2024
Electrical meter issue,electricity,0,BMC,2024-05-04,5,2024
Road hump needs repainting on Office Lane in UMC jurisdiction,road,0,UMC,2024-09-25,9,2024
Billboard lights causing glare,electricity,1,LMC,2024-03-15,3,2024
Composting facility issue in CMC jurisdiction,sanitation,1,CMC,2023-08-19,8,2023
Illegal electricity connection in GMC jurisdiction,electricity,2,GMC,2023-06-29,6,2023
Garbage overflow at Industrial Area in UMC jurisdiction,sanitation,1,UMC,2023-09-16,9,2023
Building cracks noticed in HMC jurisdiction,building,1,HMC,2024-07-09,7,2024
Roadside vegetation obstructing view in WMC jurisdiction,road,1,WMC,2023-02-22,2,2023
Pipeline repair work incomplete,water,1,MMC,2023-09-07,9,2023
Road surface cracks on Park Avenue in WMC jurisdiction,road,0,WMC,2024-02-29,2,2024
Dumpster missing lid,sanitation,0,TMC,2024-08-24,8,2024
Overflowing water tank at Commercial Complex in CMC jurisdiction,water,2,CMC,2024-02-25,2,2024
Dumpster missing lid,sanitation,0,AMC,2023-02-17,2,2023
Sidewalk damaged on Nehru Marg in MMC jurisdiction,road,1,MMC,2024-08-02,8,2024
Heritage building damage,building,2,DMC,2023-08-24,8,2023
Unauthorized building modifications,building,2,RMC,2023-01-15,1,2023
Poor road repair work on Hill Road in GMC jurisdiction,road,1,GMC,2023-08-28,8,2023
Partial power failure in Ward 5 in MMC jurisdiction,electricity,1,MMC,2023-02-08,2,2023
Dead animal not removed,sanitation,2,MMC,2024-11-01,11,2024
Park closing early,parks,0,RMC,2024-10-22,10,2024
Water meter not working in PMC jurisdiction,water,0,PMC,2023-08-06,8,2023
Street light timing incorrect,electricity,0,JMC,2024-08-01,8,2024
Street light timing incorrect in KMC jurisdiction,electricity,0,KMC,2023-06-28,6,2023
Flower beds neglected,parks,0,RMC,2024-08-25,8,2024
Poor road repair work on Church Street in VMC jurisdiction,road,1,VMC,2024-03-30,3,2024
Sidewalk damaged on Link Road in KDMC jurisdiction,road,1,KDMC,2024-08-22,8,2024
No water supply for 24+ hours in HMC jurisdiction,water,2,HMC,2024-09-11,9,2024
Recycling not being done in UMC jurisdiction,sanitation,0,UMC,2023-08-22,8,2023
Stray animals in garbage in PMC jurisdiction,sanitation,1,PMC,2024-11-12,11,2024
Construction noise after hours in DMC jurisdiction,building,1,DMC,2023-03-29,3,2023
Pothole developing on College Road,road,1,KMC,2024-07-29,7,2024
Pothole developing on Service Road in MMC jurisdiction,road,1,MMC,2023-12-27,12,2023
Overflowing water tank at Market Area,water,2,CMC,2024-09-28,9,2024
Fountain not working in AMC jurisdiction,parks,1,AMC,2024-02-15,2,2024
Industrial waste mixing in KDMC jurisdiction,sanitation,2,KDMC,2024-04-09,4,2024
Irregular water supply timing,water,1,CMC,2023-06-09,6,2023
Street light not working at East Zone in NMC jurisdiction,electricity,1,NMC,2024-09-05,9,2024
Bridge approach damaged near Ward 3 in LMC jurisdiction,road,2,LMC,2023-04-19,4,2023
Billboard lights causing glare,electricity,1,VMC,2023-08-15,8,2023
Drainage cover broken on road,road,1,PMC,2023-12-24,12,2023
Building completion certificate issue in KMC jurisdiction,building,1,KMC,2023-09-20,9,2023
Power fluctuations damaging appliances,electricity,2,KDMC,2024-10-05,10,2024
Medical waste in regular garbage,sanitation,2,LMC,2024-10-04,10,2024
Water bill discrepancy for Commercial Complex in NMC jurisdiction,water,1,NMC,2024-06-03,6,2024
Street light not working at Industrial Area,electricity,1,UMC,2024-08-08,8,2024
Speed breaker damaged on Cross Street in JMC jurisdiction,road,1,JMC,2024-11-25,11,2024
Sewage backup in South Zone in WMC jurisdiction,water,2,WMC,2024-11-10,11,2024
Tap leaking at Market Area in HMC jurisdiction,water,0,HMC,2023-01-19,1,2023
Road surface cracks on Nehru Marg,road,0,DMC,2023-06-08,6,2023
Littering in public park in UMC jurisdiction,sanitation,0,UMC,2024-09-24,9,2024
Roadside vegetation obstructing view in NMC jurisdiction,road,1,NMC,2023-09-02,9,2023
Tree branch fallen on road at Ward 3,road,2,PMC,2023-10-07,10,2023
Leaking pipeline near Residential Colony,water,1,RMC,2024-01-19,1,2024
Voltage fluctuations frequent in HMC jurisdiction,electricity,1,HMC,2023-10-23,10,2023
Sidewalk damaged on Service Road in SMC jurisdiction,road,1,SMC,2024-09-21,9,2024
Illegal electricity connection in HMC jurisdiction,electricity,2,HMC,2024-04-26,4,2024
Stagnant water causing mosquito breeding,water,1,TMC,2023-12-20,12,2023
Public bins missing in LMC jurisdiction,sanitation,0,LMC,2023-05-19,5,2023
Sewage smell in Ward 2,sanitation,1,NMC,2023-02-12,2,2023
Pipeline repair work incomplete in UMC jurisdiction,water,1,UMC,2024-10-24,10,2024
Minor pothole on Cross Street in PMC jurisdiction,road,0,PMC,2023-11-10,11,2023
Irregular water supply timing in BMC jurisdiction,water,1,BMC,2024-02-20,2,2024
Public toilet unclean at Industrial Area in TMC jurisdiction,sanitation,1,TMC,2023-03-10,3,2023
Garbage overflow at Ward 5 in CMC jurisdiction,sanitation,1,CMC,2024-01-15,1,2024
Stray animals in garbage in HMC jurisdiction,sanitation,1,HMC,2024-10-27,10,2024
Property tax assessment error in AMC jurisdiction,building,0,AMC,2024-07-29,7,2024
Garbage truck leaking in CMC jurisdiction,sanitation,1,CMC,2024-05-17,5,2024
Construction debris on Garden Street,road,1,RMC,2024-07-18,7,2024
Dog waste in park,parks,0,VMC,2024-06-22,6,2024
Street light sensor not working in UMC jurisdiction,electricity,0,UMC,2023-05-13,5,2023
Park closing early in PMC jurisdiction,parks,0,PMC,2023-06-18,6,2023
Property tax assessment error,building,0,HMC,2023-09-14,9,2023
Building permit delay in NMC jurisdiction,building,0,NMC,2023-06-22,6,2023
Street light sensor not working in WMC jurisdiction,electricity,0,WMC,2024-07-31,7,2024
Garden not watered in CMC jurisdiction,parks,0,CMC,2024-08-08,8,2024
Drain cleaning overdue in NMC jurisdiction,sanitation,1,NMC,2023-03-03,3,2023
Public toilet in park dirty in KMC jurisdiction,parks,2,KMC,2023-04-19,4,2023
Public event damage not repaired,parks,1,AMC,2023-11-17,11,2023
Illegal electricity connection in CMC jurisdiction,electricity,2,CMC,2023-02-21,2,2023
Electrical pole leaning dangerously in DMC jurisdiction,electricity,2,DMC,2023-04-21,4,2023
